id,time,latitude,longitude,mag,magType,place,type,status,locationSource,state
hv72951647,2022-03-16 03:04:56.990000+00:00,19.2345008850098,-155.387329101562,2.17,ml,"10 km ENE of P?hala, Hawaii",earthquake,automatic,hv,US-HI
ak0223g34085,2022-03-16 03:03:16.871000+00:00,58.3393,-156.496,2.6,ml,"40 km SSE of King Salmon, Alaska",earthquake,reviewed,ak,US-AK
us6000h6g3,2022-03-16 03:02:00.122000+00:00,-18.8763,-177.6261,4.5,mb,Fiji region,earthquake,reviewed,us,
us6000h6g2,2022-03-16 03:00:40.280000+00:00,-2.7655,137.2816,4.5,mb,"208 km ENE of Nabire, Indonesia",earthquake,reviewed,us,ID-PA
us6000h4xf,2022-03-16 03:00:03.847000+00:00,-7.6341,107.0324,5.3,mww,"65 km SW of Banjar, Indonesia",earthquake,reviewed,us,ID-JB
nc73706251,2022-03-16 02:55:29.390000+00:00,38.7874985,-122.7471695,0.7,md,"1km NE of The Geysers, CA",earthquake,automatic,nc,US-CA
uu60485802,2022-03-16 02:49:16.080000+00:00,37.6846667,-113.1838333,1.05,ml,"10 km W of Cedar City, Utah",earthquake,reviewed,uu,US-UT
ak0223g2s12l,2022-03-16 02:47:28.137000+00:00,59.794,-153.2722,1.6,ml,"46 km E of Pedro Bay, Alaska",earthquake,reviewed,ak,US-AK
us6000h6fw,2022-03-16 02:44:35.770000+00:00,0.3553,97.5769,4.2,mb,"203 km SW of Sibolga, Indonesia",earthquake,reviewed,us,ID-SU
us6000h6fv,2022-03-16 02:42:02.923000+00:00,14.1097,119.3363,4.7,mb,"80 km WNW of Cabra, Philippines",earthquake,reviewed,us,
ak0223g2qqqh,2022-03-16 02:41:27.610000+00:00,62.3543,-149.6574,0.9,ml,"23 km E of Talkeetna, Alaska",earthquake,reviewed,ak,US-AK
us6000h4xc,2022-03-16 02:40:52.521000+00:00,-18.1784,-174.5388,4.9,mb,"78 km NW of Neiafu, Tonga",earthquake,reviewed,us,
tx2022ffkf,2022-03-16 02:31:40.061000+00:00,31.6144186,-104.2227485,2.0,ml,western Texas,earthquake,reviewed,tx,US-TX
nc73706246,2022-03-16 02:29:56.440000+00:00,39.7461667,-123.5768333,1.88,md,"10km NW of Laytonville, CA",earthquake,reviewed,nc,US-CA
pr71340378,2022-03-16 02:22:28.880000+00:00,18.0321666666667,-66.8446666666667,2.37,md,"0 km ESE of Yauco, Puerto Rico",earthquake,reviewed,pr,US-PR
us6000h4x9,2022-03-16 02:20:16.732000+00:00,34.9588,25.2917,4.6,mb,"13 km ESE of Pýrgos, Greece",earthquake,reviewed,us,
nn00835447,2022-03-16 02:15:54.699000+00:00,36.9255,-115.8986,0.4,ml,"44 km NNW of Indian Springs, Nevada",earthquake,reviewed,nn,US-NV
nn00835395,2022-03-16 02:07:50.988000+00:00,36.889,-117.591,1.3,ml,"51 km NNE of Keeler, California",earthquake,reviewed,nn,US-CA
us6000h4x7,2022-03-16 02:06:28.325000+00:00,37.6646,142.6402,4.2,mb,"144 km SE of Ishinomaki, Japan",earthquake,reviewed,us,
ci39968911,2022-03-16 02:00:49.610000+00:00,32.5116667,-116.2031667,1.97,ml,"27km ESE of Campo, CA",earthquake,reviewed,ci,MX-BCN
uu60485797,2022-03-16 01:56:43.180000+00:00,39.4193333,-110.3026667,1.49,ml,"16 km SSE of Sunnyside, Utah",earthquake,reviewed,uu,US-UT
us6000h4x4,2022-03-16 01:42:16.455000+00:00,-6.5958,129.8357,4.3,mb,Banda Sea,earthquake,reviewed,us,ID-MA
ak0223g24vh2,2022-03-16 01:39:30.577000+00:00,62.9287,-149.8367,2.3,ml,"55 km NNE of Chase, Alaska",earthquake,reviewed,ak,US-AK
ak0223g24h0r,2022-03-16 01:37:38.249000+00:00,61.6083,-146.4071,1.5,ml,"46 km SSE of Nelchina, Alaska",earthquake,reviewed,ak,US-AK
av91051983,2022-03-16 01:35:05.560000+00:00,51.795,-178.888833333333,0.78,ml,"155 km W of Adak, Alaska",earthquake,reviewed,av,US-AK
ak0223g212mb,2022-03-16 01:21:51.077000+00:00,65.22,-162.9664,1.4,ml,"63 km NNE of White Mountain, Alaska",earthquake,reviewed,ak,US-AK
pr71340373,2022-03-16 01:18:53.970000+00:00,17.9365,-66.9685,2.34,md,"7 km WSW of Guánica, Puerto Rico",earthquake,reviewed,pr,US-PR
nc73706236,2022-03-16 01:17:50.740000+00:00,38.8170013,-122.7994995,0.84,md,"6km NW of The Geysers, CA",earthquake,automatic,nc,US-CA
nn00835465,2022-03-16 01:17:47.192000+00:00,38.4145,-118.9149,1.4,ml,"28 km WSW of Hawthorne, Nevada",earthquake,reviewed,nn,US-NV
hv72951552,2022-03-16 00:57:32.120000+00:00,19.1590003967285,-155.459335327148,1.79999995,md,"5 km SSE of P?hala, Hawaii",earthquake,automatic,hv,US-HI
ak0223g1n3cv,2022-03-16 00:56:30.430000+00:00,60.7655,-151.7558,1.2,ml,"26 km WNW of Nikiski, Alaska",earthquake,reviewed,ak,US-AK
hv72951547,2022-03-16 00:56:04.910000+00:00,19.1474990844727,-155.460327148438,1.95000005,md,"6 km SSE of P?hala, Hawaii",earthquake,automatic,hv,US-HI
